"","brand","model","processor_brand","processor_name","processor_gnrtn","processor_gnrtn_isBAD","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","display_size_isBAD","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews","latest_price_cat"
"1","Lenovo","A6-9225","AMD","A6-9225 Processor",10,0,4,"DDR4",0,1024,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,0,"No","No",403.064516129032,32790,23,3.7,63,12,"low"
"2","Lenovo","Ideapad","AMD","APU Dual",10,0,4,"DDR4",0,512,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",315.967741935484,21325,8,3.6,1894,256,"low"
"3","Avita","PURA","AMD","APU Dual",10,0,4,"DDR4",128,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,0,"No","No",322.41935483871,27990,28,3.7,1153,159,"low"
"4","Avita","PURA","AMD","APU Dual",10,0,4,"DDR4",128,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,0,"No","No",346.612903225806,27990,23,3.7,1153,159,"low"
"5","Avita","PURA","AMD","APU Dual",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,0,"No","No",403.064516129032,33490,25,3.7,1657,234,"low"
"6","Avita","PURA","AMD","APU Dual",10,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",403.064516129032,33490,25,3.7,1657,234,"low"
"7","HP","APU","AMD","APU Dual",10,0,4,"DDR4",0,1024,"Windows","32-bit",0,"Casual",14,0,0,"No","No",337.096774193548,22825,8,3.9,1185,141,"low"
"8","Lenovo","APU","AMD","APU Dual",10,0,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",353.161290322581,0,0,3.9,219,18,"low"
"10","acer","Aspire","AMD","Athlon Dual",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",515.967741935484,36990,13,4.2,76,13,"low"
"11","ASUS","ExpertBook","Intel","Core i3",10,0,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.6,0,0,"No","No",558.854838709677,41990,17,2.3,3,0,"low"
"12","Lenovo","_invalid_","Intel","Core i3",10,0,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",629.016129032258,42705,8,3.8,65,5,"low"
"13","Lenovo","v15","Intel","Core i3",10,0,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.6,0,0,"No","No",645.145161290323,43999,9,3.1,8,1,"low"
"17","ASUS","EeeBook","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",0,512,"Windows","32-bit",0,"Casual",15.1220212765957,1,0,"No","No",354.677419354839,25990,15,3.5,31,3,"low"
"20","acer","Aspire","AMD","Ryzen",10,0,4,"DDR4",0,512,"Windows","32-bit",4,"Casual",15.1220212765957,1,0,"No","No",886.935483870968,89000,38,4.5,3190,414,"mid"
"21","acer","Nitro","AMD","Ryzen 5",10,0,4,"DDR4",0,512,"Windows","32-bit",4,"Casual",15.1220212765957,1,0,"No","No",967.58064516129,99999,40,4.5,1946,240,"mid"
"22","acer","Nitro","AMD","Ryzen 5",10,0,4,"DDR4",0,512,"Windows","32-bit",6,"Casual",15.1220212765957,1,0,"No","No",1511.29032258065,139000,32,4.5,259,47,"high"
"23","acer","Nitro","AMD","Ryzen 5",10,0,4,"DDR4",0,512,"Windows","32-bit",4,"Casual",15.1220212765957,1,0,"No","No",1177.25806451613,99999,27,4.5,425,67,"mid"
"24","Avita","Cosmos","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",0,512,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",282.096774193548,23490,25,3.6,1120,196,"low"
"29","Lenovo","IdeaPad","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",516.112903225806,38999,17,4,286,19,"low"
"30","HP","Celeron","Intel","Celeron Dual",10.3318112633181,1,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",524.032258064516,39288,17,4,58,6,"low"
"32","ASUS","VivoBook","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",482.096774193548,33990,12,4,7,0,"low"
"33","ASUS","Celeron","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",386.935483870968,26990,11,3.8,15279,1947,"low"
"34","HP","15q","Intel","Core i3",7,0,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.6,0,0,"No","No",531.532258064516,0,0,4.2,311,27,"low"
"35","HP","250-G6","Intel","Core i5",7,0,4,"DDR4",0,1024,"Windows","32-bit",2,"Casual",15.6,0,0,"No","No",745.161290322581,0,0,4.2,47,7,"mid"
"36","ASUS","_invalid_","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",555.306451612903,49990,31,4.1,37,6,"low"
"37","Lenovo","IdeaPad","Intel","Core i3",10,0,8,"DDR4",256,0,"Windows","32-bit",0,"ThinNlight",15.6,0,2,"No","Yes",612.741935483871,57990,34,4.3,2080,235,"low"
"38","ASUS","VivoBook","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","32-bit",0,"Casual",15.6,0,1,"No","Yes",580.483870967742,49990,28,4.3,1479,181,"low"
"39","ASUS","VivoBook","Intel","Core i3",10,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",548.064516129032,46990,27,4.4,67,3,"low"
"40","HP","_invalid_","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",645,50085,20,4.2,273,30,"low"
"41","DELL","Vostro","Intel","Core i3",10,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",636.935483870968,43312,8,4.3,1267,171,"low"
"42","RedmiBook","15","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","32-bit",0,"ThinNlight",15.6,0,1,"No","No",628.870967741935,51999,25,4.3,1063,152,"low"
"43","HP","Pavilion","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",14,0,1,"Yes","Yes",870.806451612903,63510,14,4.6,14,0,"mid"
"45","realme","Book","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",757.903225806452,54999,14,4.4,6352,1014,"mid"
"46","ASUS","_invalid_","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","No",612.741935483871,52990,28,4.3,284,39,"low"
"47","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",14,0,1,"No","Yes",611.129032258065,51990,27,4.6,44,5,"low"
"48","Lenovo","IdeaPad","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","No",628.870967741935,60890,35,4.2,33,4,"low"
"49","Lenovo","IdeaPad","Intel","Core i3",10,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",612.741935483871,57990,34,4.2,286,36,"low"
"50","DELL","Vostro","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14.96,0,1,"No","Yes",677.258064516129,54510,22,3.6,10,5,"low"
"51","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",741.774193548387,58990,22,4.5,816,147,"mid"
"52","Lenovo","IdeaPad","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","No",645,61590,35,4.3,543,65,"low"
"53","DELL","Inspiron","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.6,0,0,"No","No",685.322580645161,59654,28,4.8,9,1,"low"
"54","Infinix","INBook","Intel","Core i3",10,0,8,"LPDDR4X",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",532.096774193548,49999,34,4.3,1221,265,"low"
"55","DELL","Vostro","Intel","Core i3",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",596.612903225806,40614,8,4.3,1178,137,"low"
"56","Lenovo","Ideapad","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",14,0,1,"Yes","Yes",870.806451612903,75490,28,4.4,299,41,"mid"
"57","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",596.612903225806,52990,30,4.4,20,1,"low"
"58","Lenovo","IdeaPad","Intel","Core i3",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,0,2,"No","No",628.064516129032,48200,19,4.3,758,64,"low"
"59","DELL","Inspiron","Intel","Core i3",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15,0,1,"No","Yes",636.935483870968,55490,28,4.4,634,64,"low"
"60","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",741.774193548387,58990,22,4.5,816,147,"mid"
"61","Lenovo","Ideapad","Intel","Core i3",10,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,0,2,"No","Yes",645.145161290323,59999,33,5,4,0,"low"
"62","DELL","Inspiron","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","No",693.387096774194,56776,24,4.3,17,2,"low"
"63","DELL","Inspiron","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",14,0,1,"Yes","No",806.290322580645,68658,27,4.2,24,5,"mid"
"64","DELL","Vostro","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",669.193548387097,55448,25,4.3,1753,165,"low"
"65","DELL","Inspiron","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14.96,0,0,"No","No",677.258064516129,57670,27,4.2,216,21,"low"
"66","Lenovo","Ideapad","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",677.258064516129,57290,26,4.4,1084,160,"low"
"67","Infinix","INBook","Intel","Core i3",10,0,8,"LPDDR4X",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",532.096774193548,49999,34,4.3,1221,265,"low"
"68","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",620.806451612903,51990,25,3.8,19,3,"low"
"69","Lenovo","_invalid_","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15,0,1,"No","Yes",628.870967741935,51544,24,4.4,106,13,"low"
"70","Lenovo","ThinkPad","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,0,1,"No","Yes",725.645161290323,59239,24,4.1,42,4,"mid"
"73","HP","_invalid_","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",724.193548387097,51000,11,4.2,1029,107,"mid"
"74","MSI","_invalid_","Intel","Core i3",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,0,"No","No",628.870967741935,53900,27,4.5,53,11,"low"
"77","Lenovo","Ideapad","Intel","Core i3",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","Yes",648.387096774194,49999,19,3.9,48,1,"low"
"78","Lenovo","_invalid_","Intel","Core i3",10,0,4,"DDR4",256,0,"Windows","32-bit",0,"Casual",15.1220212765957,1,0,"No","No",661.129032258065,56800,27,3.7,3,0,"low"
"80","realme","Book","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",774.177419354839,54999,12,4.4,6352,1014,"mid"
"81","acer","Chromebook","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",0,512,"Windows","32-bit",0,"Casual",15.1220212765957,1,0,"No","No",386.935483870968,27000,11,3.3,61,4,"low"
"82","DELL","_invalid_","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"Yes","No",1161.27419354839,72246,0,4.3,97,13,"mid"
"83","ASUS","VivoBook","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",645,52990,24,4.4,181,19,"low"
"84","Lenovo","IdeaPad","Intel","Core i3",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","Yes",677.387096774194,56590,25,4.4,529,39,"low"
"88","Lenovo","Ideapad","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",645.129032258065,60090,33,4.2,10,1,"low"
"89","HP","14s","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",685.322580645161,45892,7,4.4,5205,561,"low"
"90","Lenovo","_invalid_","Intel","Core i3",10,0,4,"DDR4",256,0,"Windows","32-bit",0,"Casual",15.1220212765957,1,0,"No","No",677.258064516129,49800,15,3.7,3,0,"low"
"92","HP","_invalid_","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",715.741935483871,45376,2,4.2,1090,96,"low"
"95","Lenovo","_invalid_","Intel","Core i3",10,0,4,"DDR4",256,0,"Windows","32-bit",0,"Casual",15.1220212765957,1,0,"No","No",661.129032258065,48900,16,5,1,1,"low"
"96","DELL","Inspiron","Intel","Core i3",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","No",645,49821,19,4,44,2,"low"
"98","ASUS","VivoBook","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","No",596.612903225806,44990,17,4.5,70,9,"low"
"101","ASUS","Chromebook","Intel","Celeron Dual",10.3318112633181,1,4,"LPDDR4",0,512,"Windows","32-bit",0,"Casual",15.1220212765957,1,0,"No","No",378.870967741935,29990,21,4.2,632,92,"low"
"102","HP","Pavilion","Intel","Core i3",8,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",14,0,1,"Yes","Yes",874.806451612903,0,0,4.4,71,8,"mid"
"103","ASUS","VivoBook","Intel","Core i3",10,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",612.741935483871,50990,25,4.3,990,108,"low"
"104","HP","_invalid_","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",693.387096774194,57330,25,4.4,158,18,"low"
"105","HP","_invalid_","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",693.387096774194,49590,13,4.3,681,59,"low"
"106","ASUS","VivoBook","Intel","Core i3",10,0,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",580.483870967742,49990,28,4.4,130,12,"low"
"107","RedmiBook","15","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","32-bit",0,"ThinNlight",15.6,0,1,"No","No",693.387096774194,55999,23,4.3,1063,152,"low"
"108","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,0,1,"No","No",693.387096774194,57990,25,4.3,30,4,"low"
"109","ASUS","VivoBook","Intel","Core i3",11,0,8,"LPDDR4X",512,0,"Windows","32-bit",0,"Casual",14,0,1,"Yes","Yes",838.548387096774,67990,23,4.7,6,2,"mid"
"110","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",790.161290322581,62990,22,4.5,174,30,"mid"
"111","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,0,1,"No","No",693.387096774194,57990,25,4.5,40,7,"low"
"112","Lenovo","_invalid_","Intel","Core i3",10,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","No",628.870967741935,62190,37,3.9,13,1,"low"
"113","DELL","Inspiron","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14.96,0,0,"No","No",741.774193548387,60908,24,4.3,184,29,"mid"
"114","HP","_invalid_","Intel","Core i3",10,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",685.322580645161,50294,15,4.3,1296,126,"low"
"115","HP","_invalid_","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",709.193548387097,50196,12,4.3,571,56,"low"
"116","ASUS","_invalid_","Intel","Core i3",10,0,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",645,49990,20,4.3,2551,297,"low"
"117","MSI","_invalid_","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",790.161290322581,49590,1,4.5,17,3,"mid"
"118","HP","Pavilion","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,0,1,"No","Yes",886.935483870968,69267,20,4.5,35,3,"mid"
"119","MSI","_invalid_","Intel","Core i3",10,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",661.129032258065,55990,26,4.4,118,17,"low"
"121","Lenovo","IdeaPad","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"Yes","No",886.935483870968,79690,30,4.5,245,34,"mid"
"122","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,0,1,"No","Yes",725.645161290323,46390,3,4.4,2058,305,"mid"
"123","HP","_invalid_","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",665.322580645161,46602,11,4.1,117,11,"low"
"125","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,0,1,"No","No",693.387096774194,57990,25,4.7,74,11,"low"
"126","DELL","_invalid_","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,0,1,"Yes","No",980.483870967742,78307,22,4.4,10,1,"mid"
"127","HP","_invalid_","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,0,0,"No","No",736.290322580645,55202,17,4.1,39,4,"mid"
"128","DELL","Vostro","Intel","Core i3",10,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",677.258064516129,49826,15,3.9,29,7,"low"
"129","DELL","Inspiron","Intel","Core i3",10,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","No",733.709677419355,60046,24,4.2,43,4,"mid"
"131","Lenovo","IdeaPad","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,2,"No","Yes",693.387096774194,63790,32,4.4,984,99,"low"
"132","HP","15s","Intel","Core i3",11,0,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",733.709677419355,46990,3,4.3,523,66,"mid"
"133","HP","_invalid_","Intel","Core i3",10,0,4,"DDR4",512,0,"Windows","32-bit",0,"Casual",15.1220212765957,1,0,"No","No",625.790322580645,47916,19,4.4,30,1,"low"
"136","HP","_invalid_","Intel","Core i3",11,0,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",774.032258064516,51165,6,4.3,1605,215,"mid"
"137","ASUS","VivoBook","Intel","Core i3",10,0,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",661.129032258065,49990,18,4.4,4008,519,"low"
"138","ASUS","_invalid_","Intel","Core i3",10,0,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",693.387096774194,50990,15,4.4,1869,234,"low"
"139","ASUS","VivoBook","Intel","Core i3",11,0,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",724.032258064516,56999,21,3.9,7,0,"mid"
"140","ASUS","VivoBook","Intel","Core i3",10,0,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",669.193548387097,49990,17,4.4,4008,519,"low"
"142","HP","_invalid_","Intel","Core i3",11,0,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",788.709677419355,50000,2,4.3,1278,135,"mid"
"143","ASUS","VivoBook","Intel","Core i3",10,0,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",661.129032258065,49990,18,4.4,4008,519,"low"
"145","Lenovo","Ideapad","Intel","Core i3",11,0,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"Yes","Yes",935.467741935484,85000,31,3.4,10,2,"mid"
"147","HP","Pavilion","Intel","Core i3",11,0,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,0,1,"Yes","Yes",895,65853,15,4.3,143,15,"mid"
"148","ASUS","VivoBook","Intel","Core i3",10,0,8,"DDR4",0,1024,"Windows","64-bit",0,"Casual",14.1,0,1,"No","No",530.483870967742,46990,30,3.9,28,4,"low"
"149","Lenovo","IdeaPad","Intel","Core i3",10,0,8,"DDR4",0,1024,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",580.483870967742,57290,37,4,2124,233,"low"
"150","DELL","Inspiron","Intel","Core i3",11,0,8,"DDR4",0,1024,"Windows","64-bit",0,"ThinNlight",15.6,0,0,"No","No",685.322580645161,50693,16,4,276,40,"low"
"151","DELL","Vostro","Intel","Core i3",11,0,8,"DDR4",0,1024,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",680.483870967742,44780,5,3.9,250,21,"low"
